row_index,conversation_id,scenario_type,speaker,dialogue
1,S001,Savings,Customer,"Hello, I want to save some money with MTN MoKash. How does it work?"
2,S001,Savings,Bot,"Welcome to MTN MoKash! You can save money and earn interest of up to 5% per year. You can deposit as little as UGX 500, and your savings are secure. Would you like me to help you set up a savings goal or make a deposit?"
3,S001,Savings,Customer,"I'd like to save UGX 100,000 for my daughter's school fees in 3 months. Can I set that as a goal?"
4,S001,Savings,Bot,"Absolutely! I can help you create a school fees savings goal. With a target of UGX 100,000 in 3 months, you would need to save approximately UGX 33,334 per month to reach your goal. Would you like to set up automatic deposits or manual deposits?"
5,S001,Savings,Customer,"I prefer automatic deposits every week from my MTN Mobile Money wallet. Is that possible?"
6,S001,Savings,Bot,"Yes, we can set up automatic weekly deposits of UGX 8,334 from your Mobile Money wallet to your MoKash savings account. This will help you reach your UGX 100,000 goal in 3 months. Should I set this up for you now?"
7,S001,Savings,Customer,"Yes, please go ahead."
8,S001,Savings,Bot,"To confirm, I'll set up automatic weekly deposits of UGX 8,334 from your Mobile Money wallet to your MoKash account for your daughter's school fees goal. Please enter your Mobile Money PIN to authorize this setup."
9,S001,Savings,Customer,"I've entered my PIN."
10,S001,Savings,Bot,"Thank you! Your automatic weekly deposit has been successfully set up. You will receive an SMS confirmation shortly. Is there anything else I can help you with today?"
11,S002,Savings,Customer,"What happens if I need to withdraw my savings before the 3 months are up?"
12,S002,Savings,Bot,"You can withdraw your savings at any time, but please note that early withdrawals may affect the interest earned. Interest is calculated based on the duration your funds are in the savings account. Would you like to know the exact interest rate for your current savings period?"
13,S002,Savings,Customer,"Yes, please tell me the current interest rate."
14,S002,Savings,Bot,"The current interest rate for your savings is 5% per annum, calculated daily and paid out quarterly. If you withdraw before the end of the quarter, you'll receive the accrued interest up to that point. Would you like to proceed with a withdrawal?"
15,S002,Savings,Customer,"No, I'll keep it there for now. Thanks."
16,L001,Loans/Overdraft,Customer,"I need an emergency loan. How can I apply?"
17,L001,Loans/Overdraft,Bot,"I understand you need an emergency loan. MTN MoKash offers quick loans based on your Mobile Money transaction history. How much would you like to borrow?"
18,L001,Loans/Overdraft,Customer,"UGX 50,000."
19,L001,Loans/Overdraft,Bot,"Okay. Based on your transaction history, you are eligible for a loan of UGX 50,000. The loan will be credited to your Mobile Money wallet immediately. The repayment period is 30 days, and the interest rate is 9%. Would you like to proceed?"
20,L001,Loans/Overdraft,Customer,"Yes, proceed."
21,L001,Loans/Overdraft,Bot,"Please enter your Mobile Money PIN to confirm the loan application."
22,L001,Loans/Overdraft,Customer,"PIN entered."
23,L001,Loans/Overdraft,Bot,"Thank you! Your UGX 50,000 loan has been approved and credited to your Mobile Money wallet. You will receive an SMS confirmation shortly. The repayment due date is in 30 days. Would you like to set up a reminder for the repayment?"
24,L001,Loans/Overdraft,Customer,"Yes, please set up a reminder for 3 days before the due date."
25,L001,Loans/Overdraft,Bot,"Reminder set! You will receive an SMS reminder 3 days before the repayment due date. Is there anything else I can assist you with?"
26,L002,Loans/Overdraft,Customer,"What happens if I can't repay the loan on time?"
27,L002,Loans/Overdraft,Bot,"If you are unable to repay the loan on time, a late payment fee of 2% will be charged on the outstanding amount. Continued late payments may affect your eligibility for future loans. Would you like to know more about the late payment policy?"
28,L002,Loans/Overdraft,Customer,"No, I understand. Thanks."
29,R001,Remittance,Customer,"I'm expecting money from abroad through WorldRemit. How do I receive it?"
30,R001,Remittance,Bot,"Welcome! Receiving money through WorldRemit is simple. Once the sender has transferred the money, you will receive an SMS notification with a transaction code. To receive the funds, go to your Mobile Money menu, select 'WorldRemit', enter the transaction code, and confirm the amount. Would you like me to walk you through the steps now?"
31,R001,Remittance,Customer,"Yes, please walk me through the steps."
32,R001,Remittance,Bot,"Sure. First, open your MTN Mobile Money menu and select 'WorldRemit'. Then, select 'Receive Money'. Enter the transaction code you received via SMS, and confirm the amount. The funds will be credited to your Mobile Money wallet instantly. Would you like to try it now?"
33,R001,Remittance,Customer,"Yes, I'll try it now."
34,R001,Remittance,Bot,"Great! Let me know if you need any further assistance."
35,R002,Remittance,Customer,"Are there any fees for receiving money from abroad?"
36,R002,Remittance,Bot,"MTN Mobile Money does not charge any fees for receiving money through WorldRemit. However, WorldRemit may charge a fee to the sender. Would you like more information about WorldRemit's fees?"
37,R002,Remittance,Customer,"No, that's fine. Thanks."
38,T001,Money Transfers,Customer,"I want to send money to an Airtel user. How do I do that?"
39,T001,Money Transfers,Bot,"You can send money to an Airtel user using the cross-network transfer feature. Open your Mobile Money menu, select 'Send Money', choose 'Other Networks', and enter the Airtel number and the amount. Please note that there is a small fee for cross-network transfers. Would you like to know the exact fee for the amount you want to send?"
40,T001,Money Transfers,Customer,"Yes, please tell me the fee for sending UGX 20,000."
41,T001,Money Transfers,Bot,"The fee for sending UGX 20,000 to an Airtel user is UGX 900. Would you like to proceed with the transfer?"
42,T001,Money Transfers,Customer,"Yes, proceed."
43,T001,Money Transfers,Bot,"Please enter your Mobile Money PIN to confirm the transfer."
44,T001,Money Transfers,Customer,"PIN entered."
45,T001,Money Transfers,Bot,"Thank you! Your transfer of UGX 20,000 to the Airtel user has been completed. You will receive an SMS confirmation shortly. Is there anything else I can help you with?"
46,T002,Money Transfers,Customer,"Can I send money to a group of people at once?"
47,T002,Money Transfers,Bot,"Yes, you can use the group collection feature. You can create a group and send money to all members at once. Would you like to create a group now?"
48,T002,Money Transfers,Customer,"No, not now. Thanks."
49,A001,Account Status,Customer,"How do I check my account balance?"
50,A001,Account Status,Bot,"You can check your account balance by dialing *165# and selecting 'My Account', then 'Check Balance'. Alternatively, you can use the MTN
```csv
row_index,conversation_id,scenario_type,speaker,dialogue
81,T003,Money Transfers,Customer,"Can I schedule a money transfer for a later date?"
82,T003,Money Transfers,Bot,"Yes, you can schedule a money transfer for a later date using the 'Scheduled Transfer' option in the Mobile Money menu. You'll need to specify the recipient's number, the amount, and the date and time of the transfer. Would you like to schedule a transfer now?"
83,T003,Money Transfers,Customer,"Yes, please help me schedule a transfer of UGX 50,000 to 078XXXXXXX for next Friday at 10 AM."
84,T003,Money Transfers,Bot,"Okay, I'm scheduling a transfer of UGX 50,000 to 078XXXXXXX for next Friday at 10 AM. Please enter your Mobile Money PIN to confirm the scheduled transfer."
85,T003,Money Transfers,Customer,"PIN entered."
86,T003,Money Transfers,Bot,"Thank you! Your scheduled transfer has been set up. You will receive an SMS confirmation shortly. Is there anything else I can help you with?"
87,T004,Money Transfers,Customer,"What are the fees for sending money to a merchant?"
88,T004,Money Transfers,Bot,"The fees for sending money to a merchant depend on the amount and the merchant's payment terms. You can check the fee before confirming the payment. Would you like to check the fee for a specific amount?"
89,T004,Money Transfers,Customer,"Yes, please tell me the fee for paying UGX 100,000 to a merchant."
90,T004,Money Transfers,Bot,"The fee for paying UGX 100,000 to a merchant is UGX 1,000. Would you like to proceed with the payment?"
91,T004,Money Transfers,Customer,"No, I'll pay later. Thanks."
92,A002,Account Status,Customer,"How do I request a statement for the last 3 months?"
93,A002,Account Status,Bot,"You can request a statement for the last 3 months by dialing *165# and selecting 'My Account', then 'Request Statement'. You can choose to receive the statement via SMS or email. Which option do you prefer?"
94,A002,Account Status,Customer,"Email, please."
95,A002,Account Status,Bot,"Please enter your email address to receive the statement."
96,A002,Account Status,Customer,"myemail@example.com"
97,A002,Account Status,Bot,"Thank you! Your statement for the last 3 months will be sent to myemail@example.com shortly. Is there anything else I can help you with?"
98,A003,Account Status,Customer,"How do I update my profile information?"
99,A003,Account Status,Bot,"You can update your profile information by dialing *165# and selecting 'My Account', then 'Update Profile'. You can update your name, address, and other details. Which information would you like to update?"
100,A003,Account Status,Customer,"I want to update my address."
101,A003,Account Status,Bot,"Please enter your new address."
102,A003,Account Status,Customer,"123 Main Street, Kampala."
103,A003,Account Status,Bot,"Thank you! Your address has been updated to 123 Main Street, Kampala. Is there anything else I can help you with?"
104,A004,Account Status,Customer,"Can I set up automatic payments for other bills?"
105,A004,Account Status,Bot,"Yes, you can set up automatic payments for other bills like NWSC (National Water and Sewerage Corporation) and StarTimes. Would you like to set up automatic payments for any of these services?"
106,A004,Account Status,Customer,"Yes, for NWSC."
107,A004,Account Status,Bot,"Please provide your NWSC customer number."
108,A004,Account Status,Customer,"9876543210."
109,A004,Account Status,Bot,"Please enter the monthly limit you would like to set for automatic payments."
110,A004,Account Status,Customer,"UGX 50,000."
111,A004,Account Status,Bot,"To confirm, I'm setting up automatic payments for NWSC customer number 9876543210 with a monthly limit of UGX 50,000. Please enter your Mobile Money PIN to authorize this setup."
112,A004,Account Status,Customer,"PIN entered."
113,A004,Account Status,Bot,"Thank you! Your automatic payment for NWSC has been successfully set up. You will receive an SMS confirmation shortly. Is there anything else I can help you with?"
114,S003,Savings,Customer,"Can I have multiple savings goals?"
115,S003,Savings,Bot,"Yes, you can have multiple savings goals with MoKash. You can create different goals for various purposes, such as school fees, travel, or emergencies. Would you like to create another savings goal?"
116,S003,Savings,Customer,"Yes, I want to save UGX 50,000 for a trip in 2 months."
117,S003,Savings,Bot,"Okay, I'm creating a savings goal for your trip with a target of UGX 50,000 in 2 months. That means you'll need to save approximately UGX 25,000 per month. Would you like to set up automatic or manual deposits?"
118,S003,Savings,Customer,"Automatic, weekly."
119,S003,Savings,Bot,"That's UGX 6,250 per week. Please enter your Mobile Money PIN to confirm."
120,S003,Savings,Customer,"PIN entered."
121,S003,Savings,Bot,"Your trip savings goal has been set up. You will receive an SMS confirmation shortly."
122,S004,Savings,Customer,"How does interest get calculated on my savings?"
